edge_id,question_id,evidence_id,evidence_type,relationship,note
QE062,Q024,C019,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE063,Q025,C018,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE064,Q025,C024,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE065,Q026,C021,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE066,Q026,S020,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE067,Q027,C016,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE068,Q028,C016,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE069,Q029,C017,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE070,Q029,C018,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE071,Q029,C019,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE072,Q029,C021,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE073,Q029,C024,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE074,Q030,C010,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE075,Q030,C015,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE076,Q031,C007,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE077,Q031,C015,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE078,Q031,C016,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE079,Q031,S003,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE080,Q032,C009,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE081,Q032,S009,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE082,Q032,S010,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE083,Q032,S016,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE084,Q033,C008,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE085,Q033,C010,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE086,Q034,C023,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE087,Q035,C014,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE088,Q035,C017,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE089,Q035,C022,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE090,Q035,S002,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE091,Q035,S019,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE092,Q036,C020,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE093,Q036,S015,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE094,Q036,S019,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE095,Q036,S021,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE096,Q037,C022,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE097,Q038,C002,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE098,Q038,C003,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE099,Q038,C010,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE100,Q038,C019,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE101,Q038,C023,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE102,Q038,S018,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE103,Q039,C010,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE104,Q039,C013,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE105,Q039,C019,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE106,Q039,S008,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE107,Q039,S017,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE108,Q039,S018,study,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE109,Q040,C011,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE110,Q040,C012,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE111,Q040,C019,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE112,Q040,C021,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
QE113,Q040,C024,claim,addresses,Maintained question-to-evidence link; strength is described in the linked record
