screen_id,ref_id,decision,reason,priority,extraction_status,duplicate_of,reviewed_on
SC050,R050,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,abstract_extracted,,2026-08-18
SC051,R051,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,full_text_extracted,,2026-08-18
SC052,R052,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,full_text_extracted,,2026-08-18
SC053,R053,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC054,R054,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,abstract_plus_web_extracted,,2026-08-18
SC055,R055,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",essential,citation_only,,2026-08-18
SC056,R056,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC057,R057,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,abstract_extracted,,2026-08-18
SC058,R058,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,citation_only,,2026-08-18
SC059,R059,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,full_text_extracted,,2026-08-18
SC060,R060,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,full_text_extracted,,2026-08-18
SC061,R061,include,"In scope for foundations, diagnosis, mechanism, measurement, or mixed pathology",high,full_text_extracted,,2026-08-18
