study_id,ref_id,short_name,year,design,population,n,setting,index_test_or_exposure,reference_standard,outcome,key_result,major_limitations,appraisal_framework,provisional_bias,applicability,extraction_status,reviewed_on
S011,R016,Deep-learning quantitative histopathology models,2021,methods development and validation,"Digitized slides from 47 AD, CAA, and control autopsy cases",47,Multiple autopsy sources,"Six CNN models for plaques, vascular amyloid, iron/calcium, astrocytes, microglia, and fibrin",Three expert human raters and prior semiquantitative scores,Pixel/object detection performance and biological analyses,Validation was good to excellent for marker models and enabled continuous mixed-effects analyses,Training data small and staining/platform specific; human annotations are imperfect reference; external laboratory transport not established,methods-validation prompts,some concerns,"Research quantification workflow, not autonomous diagnosis",full_text_extracted,2026-08-18
S012,R051,Boston v2.0 in ROSMAP community sample,2024,community-based MRI-autopsy diagnostic accuracy,Deceased ROSMAP participants with in vivo 3T MRI and detailed autopsy,134,Longitudinal community cohorts,"Boston v1.0, v1.5, and v2.0",Moderate-to-severe autopsy CAA,Diagnostic performance; 49 participants had pathology-proven CAA,"Probable v2.0 sensitivity 38.8%, specificity 83.5%, PPV 57.6%, NPV 70.3%; cortical CMB count distinguished true from false positives",Only 134 of a much larger autopsy cohort had usable in vivo MRI; older selected sample; interval and sequence limitations,QUADAS-3,some concerns/high selection,Directly relevant to community-dwelling older adults; not identical to clinical referrals,full_text_web_extracted,2026-08-18
S013,R052,Boston v2.0 without hemorrhagic presentation,2024,MRI-autopsy diagnostic accuracy,Community and memory-clinic participants without symptomatic ICH,54,Mayo Clinic Study of Aging and ADRC,Boston v1.5 and v2.0,Moderate-to-severe lobar autopsy CAA,Diagnostic performance; 28 participants had pathology-proven CAA,"Probable v2.0 sensitivity 28.6%, specificity 65.3%, AUC 0.47; any CAA sensitivity 75.0%, specificity 38.5%",Small sample and wide confidence intervals; spectrum differs from derivation population; MRI-to-autopsy interval,QUADAS-3,high/imprecise,Highly relevant warning for asymptomatic or cognitive-only use,full_text_web_extracted,2026-08-18
S014,R028,CAA-SVD burden score development,2016,observational construct-validation study,Patients with CAA and MRI markers,not extracted,single/referral cohorts,"Ordinal composite of lobar CMBs, cSS, CSO-PVS, and WMH",Clinical diagnosis/pathology variables depending analysis,Total CAA-related SVD burden,Composite associated with clinically meaningful disease features,Thresholded equal-weight components; etiologic overlap; not a diagnostic criterion; detailed extraction pending,cohort prompts,not rated,Burden description/prognosis only,citation_only,2026-08-18
S015,R008,Clinicoradiologic criteria for CAA-related inflammation,2016,retrospective diagnostic accuracy,Patients evaluated for suspected CAA-related inflammation,not extracted,specialist referral cohorts,Clinicoradiologic probable/possible CAA-ri criteria,Biopsy or clinicoradiologic follow-up,CAA-ri diagnosis,Probable criteria showed useful sensitivity and specificity in the reported validation,Selected rare syndrome; incorporation and verification biases possible; full extraction pending,QUADAS-3,not rated,Specialist evaluation of subacute inflammatory presentations,citation_only,2026-08-18
S016,R050,Small vessel disease and medial temporal proteinopathies,2025,quantitative autopsy study,Human medial temporal lobe autopsy cases,152,autopsy cohort,AI and manual vascular pathology measures,Regional AD-related and TDP-43 pathology measures,Spatial relationships among vascular and protein pathologies,Study maps coexisting vascular and protein pathology across medial temporal regions,Cross-sectional postmortem design; causal order cannot be determined; complete result extraction pending,pathology-spatial prompts,not rated,Mixed-pathology mapping rather than antemortem diagnosis,abstract_extracted,2026-08-18
S017,R054,MarkVCID multisite CVR validation,2024,predefined multisite validation study,Older adults enrolled at three MarkVCID analysis sites,263,Three US research sites,BOLD MRI CVR during 5% carbon-dioxide inhalation,Concurrent MoCA and executive-function item-response score,Cross-site association with cognition,CVR was positively associated with MoCA at every site and with executive function in the combined analysis.,"Association with cognition is not pathology validation, diagnostic accuracy, or proof of etiologic specificity; gas challenge limits scalability.",QUIPS/biomarker validation,some concerns,"Supports a physiological VCID biomarker, not a CAA- or arteriolosclerosis-specific test.",abstract_plus_web_extracted,2026-08-18
S018,R060,Mild Stroke Study 3 longitudinal CVR,2024,prospective observational cohort,Patients with minor ischemic stroke enriched for MRI SVD features,163 follow-up analyses,Edinburgh/Lothian stroke services,Baseline BOLD CVR during 6% carbon-dioxide challenge,One-year quantitative MRI progression and clinical outcomes,WMH/PVS progression and clinical outcomes,Lower baseline CVR in normal-appearing tissue predicted greater WMH and PVS progression after adjustment; CVR was not associated with 1-year clinical outcomes.,"Stroke-enriched single-region cohort, one-year horizon, multiple tissue/outcome analyses, and no direct vessel-wall pathology.",QUIPS,some concerns,Supports temporal prediction of tissue injury in SVD but not etiologic classification.,full_text_web_extracted,2026-08-18
S019,R057,CAA-ri marker meta-analysis,2023,systematic review and random-effects meta-analysis,Probable or definite CAA-ri across 21 cohorts,378,Mostly retrospective specialist cohorts,"Clinical, MRI, genetic, and CSF features",Probable/definite CAA-ri with variable biopsy availability,Pooled prevalence of presentation and imaging markers,Cognitive decline occurred in 70%; FLAIR white-matter lesions in 98%; lobar microbleeds in 96%; cSS in 51%; estimates for many features were heterogeneous.,"Predominantly retrospective reports, variable definitions and biopsy verification, selection bias, and high heterogeneity.",AMSTAR-2/QUADAS concepts,high or unclear in component evidence,Describes the recognized CAA-ri phenotype; does not by itself validate a treatment rule.,abstract_extracted,2026-08-18
S020,R059,Regional amyloid PET meta-analysis,2025,systematic review and meta-analysis,"CAA, AD, hypertensive ICH, and healthy-control groups",16 cohorts; 271 CAA participants,Prospective observational imaging cohorts,Global and regional amyloid PET retention,Predominantly clinical CAA criteria; limited pathology correlation,Group differences in global and regional tracer retention,"CAA showed lower global retention than AD, higher retention than hypertensive ICH/controls, and relatively higher occipital-to-global uptake than AD.",Most CAA cases met probable clinical criteria rather than pathology confirmation; only two tracers dominated; threshold and timing heterogeneity.,AMSTAR-2/diagnostic applicability,some concerns,"Supports regional signal as a research candidate, not a standalone diagnostic threshold.",full_text_web_extracted,2026-08-18
S021,R061,CAA-ri versus non-inflammatory CAA spectrum,2026,retrospective comparative cohort,CAA-ri compared with non-inflammatory sporadic CAA,195 (37 CAA-ri; 158 CAA),Specialist referral cohort,Clinical and standardized MRI feature review,Clinical CAA-ri classification; pathology available only in a subset,Frequency of ARIA-E-like and hemorrhagic features,"Parenchymal hyperintensity, sulcal hyperintensity, and gyral swelling were far more common in CAA-ri than non-inflammatory CAA; CAA-ri also had more numerous lobar microbleeds.","Retrospective referral sample, modest CAA-ri count, incorporation/circularity risk, and incomplete pathology verification.",QUADAS-3 concepts,some concerns,Useful for differential recognition in specialist settings; external prospective accuracy remains needed.,full_text_web_extracted,2026-08-18
