topic_id,title,domain,kind,depth_status,current_module,priority,core_sources,gap,next_action
TOP013,CAA vessel rupture and remodeling,CAA,mechanism,deep,16-cerebral-amyloid-angiopathy-deep-dive,essential,R004;R010,Local amyloid burden does not fully explain rupture,Create rupture-mechanism hypothesis dossier
TOP014,CAA and Alzheimer disease,CAA,mixed pathology,deep,16-cerebral-amyloid-angiopathy-deep-dive,essential,R004;R005;R050,Shared peptide does not imply identical disease process,Expand compartment-specific evidence
TOP015,CAA-related inflammation,CAA,clinical syndrome,core,02-diagnostic-criteria-and-rating-systems,high,R008;R057;R061,Real-world mimic performance is incomplete,Add differential and treatment-evidence module
TOP016,ARIA,CAA,safety framework,core,22-management-prevention-and-safety,essential,R040;R055,Predictive markers and treatment-specific transportability remain limited,Create drug-specific monitoring comparisons
TOP017,Mixed CAA and arteriolosclerosis,Mixed pathology,causal model,deep,19-mixed-pathology-and-cognitive-attribution,essential,R003;R004;R050,Interaction versus additivity is unresolved,Add interaction-model examples and negative controls
TOP018,ADNC LATE-NC and hippocampal sclerosis,Mixed pathology,co-pathology,deep,19-mixed-pathology-and-cognitive-attribution,essential,R033;R034;R050,Temporal and causal direction are unresolved,Expand mediation and regional vulnerability evidence
TOP019,Recent small subcortical infarct,Imaging,STRIVE phenotype,core,18-mri-phenotypes-and-strive-2,essential,R001;R002,Clinical-imaging mismatch and lesion evolution,Add sequence-timing examples
TOP020,Lacune,Imaging,STRIVE phenotype,deep,18-mri-phenotypes-and-strive-2,essential,R001;R002;R063,Mimics and causal attribution remain problematic,Add morphology and differential gallery
TOP021,White-matter hyperintensity,Imaging,STRIVE phenotype,deep,18-mri-phenotypes-and-strive-2,essential,R001;R037,Spatial and biological heterogeneity are underrepresented,Add pattern and quantitative-method comparison
TOP022,Perivascular spaces,Imaging,STRIVE phenotype,deep,18-mri-phenotypes-and-strive-2,essential,R001;R012,Measurement and etiologic specificity remain limited,Add rating and segmentation reliability evidence
TOP023,Cerebral microbleeds,Imaging,STRIVE phenotype,deep,18-mri-phenotypes-and-strive-2,essential,R001;R023;R024;R046,Sequence and mimic sensitivity alter counts,Add GRE versus SWI and mimic examples
TOP024,Cortical superficial siderosis,Imaging,STRIVE phenotype,deep,18-mri-phenotypes-and-strive-2,essential,R001;R030;R047,Extent and progression require harmonization,Build prognosis evidence profile
TOP025,Cortical microinfarcts,Imaging,pathology-imaging phenotype,core,18-mri-phenotypes-and-strive-2,high,R001;R004,In-vivo sensitivity remains limited,Add high-field and pathology-linked evidence
TOP026,Brain atrophy in cSVD,Imaging,secondary phenotype,mapped,01-field-primer,medium,R001,Specificity and mediation remain unclear,Develop dedicated module in a later release
TOP027,Diffusion MRI free water and PSMD,Quantitative MRI,biomarker,core,03-biomarkers-and-tools,high,R021;R022,Interpretability and treatment responsiveness are unsettled,Expand processing and validation comparisons
TOP028,Cerebrovascular reactivity,Physiology,biomarker,core,03-biomarkers-and-tools,high,R054;R060,Etiologic specificity and scalable protocols are limited,Add gas and non-gas paradigm comparison
TOP029,Perfusion and hemodynamics,Physiology,biomarker,mapped,15-vessel-anatomy-and-neurovascular-unit,high,R037,Acquisition heterogeneity is substantial,Create perfusion-method module
TOP030,BBB permeability imaging,Quantitative MRI,biomarker,core,15-vessel-anatomy-and-neurovascular-unit,high,R013,Temporal meaning and standardization remain limited,Add dynamic contrast method dossier
TOP031,Quantitative susceptibility and vessel imaging,Quantitative MRI,emerging method,mapped,18-mri-phenotypes-and-strive-2,medium,R001,Clinical and pathology validation remain incomplete,Add advanced MRI module
TOP032,STRIVE-1 and STRIVE-2,Standards,terminology standard,deep,18-mri-phenotypes-and-strive-2,essential,R001;R002,Feature-specific reliability varies,Create downloadable phenotype checklist
TOP033,Boston criteria v2.0,Diagnosis,diagnostic criteria,deep,02-diagnostic-criteria-and-rating-systems,essential,R006;R051;R052,Spectrum and nonhemorrhagic performance vary,Expand interactive application examples
TOP034,Edinburgh CT and genetic criteria,Diagnosis,diagnostic criteria,core,02-diagnostic-criteria-and-rating-systems,high,R007,External validation and genotype availability limit transport,Add direct comparison with Boston v2.0
TOP035,CAA-ri clinicoradiologic criteria,Diagnosis,diagnostic criteria,core,02-diagnostic-criteria-and-rating-systems,high,R008;R057;R061,Mimics and verification bias remain important,Add specialist differential workflow
TOP036,VCING,Diagnosis,neuropathology framework,core,20-neuropathology-and-reference-standards,high,R025,Contribution judgments remain incomplete in mixed disease,Add worked attribution examples
TOP037,VasCog-2-WSO,Diagnosis,cognitive criteria,core,21-clinical-spectrum-and-outcomes,essential,R065;R066,Implementation and biomarker transport require study,Add operational criteria profile
TOP038,CAA consensus pathology protocol,Standards,pathology protocol,deep,20-neuropathology-and-reference-standards,essential,R026,Interlaboratory and sampling variation persist,Add specimen sampling checklist
TOP039,B-ASC pathology assessment,Standards,pathology rating,deep,20-neuropathology-and-reference-standards,essential,R003,Regional sampling and construct heterogeneity persist,Build digital reference set
TOP040,ARTS,Arteriolosclerosis,biomarker,deep,03-biomarkers-and-tools,essential,R017;R018;R019,Independent pathology-linked transportability is incomplete,Create full reproducibility and external-validation dossier
TOP041,Fluid biomarkers,Biomarkers,biomarker,core,03-biomarkers-and-tools,high,R031;R053;R058,Standalone etiologic specificity is not established,Add analyte-by-context comparison
TOP042,Amyloid PET,Molecular imaging,biomarker,core,03-biomarkers-and-tools,high,R032;R059,Vascular versus parenchymal signal cannot be separated reliably at patient level,Add tracer and regional-analysis comparison
TOP043,Digital neuropathology,Pathology,measurement method,core,20-neuropathology-and-reference-standards,high,R016,Domain shift and external validation remain limited,Add model-card requirements
TOP044,Neuropathology as reference standard,Methods,reference standard,deep,20-neuropathology-and-reference-standards,essential,R003;R026,Sampling interval and reader variability create imperfect truth,Add reference-standard bias checklist
TOP045,Lacunar ischemic stroke,Clinical,clinical syndrome,deep,21-clinical-spectrum-and-outcomes,essential,R063,Mechanism can be heterogeneous despite small subcortical appearance,Add acute and secondary prevention evidence tables
TOP046,Lobar and deep intracerebral hemorrhage,Clinical,clinical syndrome,core,21-clinical-spectrum-and-outcomes,essential,R004;R009,Competing ischemic and hemorrhagic risks complicate decisions,Add recurrence and management profiles
TOP047,Transient focal neurological episodes,Clinical,clinical syndrome,core,21-clinical-spectrum-and-outcomes,high,R004;R009,Mimics and treatment implications require careful distinction,Add seizure TIA and migraine differential
TOP048,Covert cSVD,Clinical,clinical state,deep,21-clinical-spectrum-and-outcomes,essential,R062,Direct trial evidence remains limited,Add incidental-finding communication framework
TOP049,Vascular cognitive impairment,Clinical,outcome,deep,21-clinical-spectrum-and-outcomes,essential,R025;R065;R066,Attribution in mixed disease remains difficult,Add cognitive-domain and causal-pathway maps
TOP050,Gait mobility and falls,Clinical,outcome,core,21-clinical-spectrum-and-outcomes,high,R062;R066,Measurement and intervention evidence are heterogeneous,Develop phenotype and endpoint module
TOP051,Mood apathy and neuropsychiatric manifestations,Clinical,outcome,mapped,21-clinical-spectrum-and-outcomes,medium,R062;R066,Construct and causal specificity are limited,Add patient-centered outcomes module
TOP052,Progression disability and mortality,Clinical,prognosis,core,21-clinical-spectrum-and-outcomes,high,R036;R037,Comparable longitudinal endpoints are lacking,Create outcome harmonization map
TOP053,CADASIL and NOTCH3,Monogenic cSVD,genetic disorder,core,23-monogenic-and-other-small-vessel-diseases,essential,R064,Variant interpretation and phenotypic variability complicate inference,Add gene-specific evidence dossier
TOP054,HTRA1-related disease and CARASIL,Monogenic cSVD,genetic disorder,core,23-monogenic-and-other-small-vessel-diseases,high,R064,Recessive and dominant phenotypes overlap,Add inheritance and imaging comparison
TOP055,COL4A1 and COL4A2 disorders,Monogenic cSVD,genetic disorder,core,23-monogenic-and-other-small-vessel-diseases,high,R064,Systemic and cerebral phenotypes are variable,Add multisystem red-flag table
TOP056,Fabry disease,Monogenic cSVD,genetic disorder,core,23-monogenic-and-other-small-vessel-diseases,high,R064,Imaging patterns are not sufficiently specific alone,Add testing and differential evidence
TOP057,RVCL-S TREX1 and systemic vasculopathy,Monogenic cSVD,genetic disorder,mapped,23-monogenic-and-other-small-vessel-diseases,medium,R064,Rarity limits natural-history evidence,Create rare-disease record set
TOP058,Hereditary CAA,Monogenic cSVD,genetic disorder,core,23-monogenic-and-other-small-vessel-diseases,high,R056,Transport from hereditary to sporadic CAA is incomplete,Separate model value from direct generalization
TOP059,Inflammatory infectious toxic and radiation-associated SVD,Other cSVD,differential family,mapped,23-monogenic-and-other-small-vessel-diseases,high,R036,Current coverage is orienting rather than comprehensive,Create separate expert-reviewed modules
TOP060,Venous and venular small-vessel disease,Other cSVD,pathology family,mapped,23-monogenic-and-other-small-vessel-diseases,medium,R036,Terminology and in-vivo markers are underdeveloped,Add venous collagenosis evidence map
TOP061,Blood-pressure management,Management,prevention,core,22-management-prevention-and-safety,essential,R009;R062;R063,Targets depend on syndrome and evidence context,Add trial-level evidence tables
TOP062,Antiplatelet and anticoagulant decisions,Management,safety decision,core,22-management-prevention-and-safety,essential,R009;R041;R062;R063,Competing risks and sparse subgroup evidence limit certainty,Build indication-by-phenotype evidence matrix
TOP063,Lipid lowering and vascular risk modification,Management,prevention,core,22-management-prevention-and-safety,high,R009;R062;R063,CAA-specific evidence and indication context matter,Add primary versus secondary prevention distinction
TOP064,Anti-amyloid therapy and ARIA,Management,safety decision,deep,22-management-prevention-and-safety,essential,R040;R055,Drug-specific protocols and real-world risk prediction are evolving,Create versioned treatment-specific pages
TOP065,Rehabilitation and cognitive interventions,Management,intervention,mapped,22-management-prevention-and-safety,medium,R066;R067,cSVD-specific trial evidence is limited,Add intervention and endpoint review
TOP066,cSVD clinical trials and endpoints,Research methods,trial methodology,core,05-research-agenda,high,R038;R066,Responsiveness and etiologic specificity remain limiting,Build endpoint qualification profiles
TOP067,Causal inference in mixed pathology,Research methods,method,deep,19-mixed-pathology-and-cognitive-attribution,essential,R050,Confounding mediation interaction and selection are often conflated,Add DAG-based worked examples
TOP068,Cohort lineage and independence,Research methods,method,deep,10-cohort-lineage,essential,R006;R017,Nominally separate papers can reuse participants,Require cohort identifiers in every study record
TOP069,Diagnostic transportability,Research methods,method,deep,06-diagnostic-transportability,essential,R006;R051;R052,Accuracy varies across populations and presentations,Add calibration and decision-curve evidence
TOP070,Measurement reliability and harmonization,Research methods,method,core,03-biomarkers-and-tools,essential,R001;R021,Technical success does not establish biological validity,Build minimum reporting standard
TOP071,Automated segmentation and machine learning,Computational methods,method,core,03-biomarkers-and-tools,high,R044;R045,Domain shift opaque QC and reference labels limit transport,Add model cards and benchmark provenance
TOP072,Living evidence synthesis and correction,Stewardship,method,core,13-living-update-workflow,high,R001,Single-reviewer extraction and incomplete searching limit authority,Add independent review and correction history
