ref_id,title,authors_or_group,year,source,evidence_type,topic,priority,doi,pmid,pmcid,doi_or_url,metadata_status,archive_note,reviewed_on
R051,Sensitivity and Specificity of the Boston Criteria Version 2.0 for the Diagnosis of Cerebral Amyloid Angiopathy in a Community-Based Sample,Zanon Zotin et al.,2024,Neurology,diagnostic accuracy,Boston v2.0 transportability,essential,10.1212/WNL.0000000000207940,38165367,PMC10834125,https://doi.org/10.1212/WNL.0000000000207940,partially enriched,ROSMAP autopsy cohort; v2.0 sensitivity 38.8% and specificity 83.5% for probable CAA.,2026-08-18
R052,Boston Criteria v2.0 for Cerebral Amyloid Angiopathy Without Hemorrhage: An MRI-Neuropathologic Validation Study,not yet extracted,2024,Neurology,diagnostic accuracy,Boston v2.0 nonhemorrhagic presentations,essential,10.1212/WNL.0000000000209386,38710005,PMC11177590,https://doi.org/10.1212/WNL.0000000000209386,partially enriched,"Mayo community/memory cohort; probable CAA sensitivity 28.6%, specificity 65.3%, AUC 0.47.",2026-08-18
R053,Fluid biomarkers in cerebral amyloid angiopathy: current limitations and future directions,Del Chicca et al.,2026,Expert Review of Neurotherapeutics,review,CAA fluid biomarkers,high,,42287242,,https://pubmed.ncbi.nlm.nih.gov/42287242/,partially enriched,Current review concludes that no fluid marker has sufficient specificity and validation for routine CAA diagnosis.,2026-08-18
R054,Cerebrovascular reactivity MRI as a biomarker for cerebral small vessel disease-related cognitive decline: Multi-site validation in the MarkVCID Consortium,Liu et al.,2024,Alzheimer's & Dementia,multisite validation study,cerebrovascular reactivity,high,10.1002/alz.13888,38951718,,https://doi.org/10.1002/alz.13888,partially enriched,Predefined multisite analysis; N=263; CVR was associated with global and executive cognition across sites.,2026-08-18
R055,Amyloid-related imaging abnormalities in anti-amyloid therapies for Alzheimer's disease: an update from the Alzheimer's Association ARIA workgroup,van Etten et al.,2026,Alzheimer's & Dementia,expert workgroup review,ARIA and CAA,essential,10.1002/alz.71361,42015334,PMC13099593,https://doi.org/10.1002/alz.71361,partially enriched,"Current workgroup synthesis of ARIA mechanisms, detection, monitoring, risk mitigation, and evidence gaps.",2026-08-18
R056,Main features of hereditary cerebral amyloid angiopathies: a systematic review,Biffi,2022,Cerebral Circulation - Cognition and Behavior,systematic review,hereditary CAA,high,10.1016/j.cccb.2022.100124,36324420,PMC9616336,https://doi.org/10.1016/j.cccb.2022.100124,partially enriched,"Maps genetics, pathogenesis, neuroimaging, neuropathology, and clinical manifestations of hereditary CAA.",2026-08-18
R057,"Clinical, neuroimaging, and genetic markers in cerebral amyloid angiopathy-related inflammation: a systematic review and meta-analysis",Theodorou et al.,2023,Stroke,systematic review and meta-analysis,CAA-related inflammation,high,10.1161/STROKEAHA.122.040671,36453271,,https://doi.org/10.1161/STROKEAHA.122.040671,partially enriched,Twenty-one cohorts and 378 patients; pooled clinical and imaging feature prevalence with substantial heterogeneity for many estimates.,2026-08-18
R058,Blood-based biomarkers of cerebral small vessel disease,Wu et al.,2024,Ageing Research Reviews,narrative review,blood biomarkers,high,10.1016/j.arr.2024.102247,38417710,,https://doi.org/10.1016/j.arr.2024.102247,partially enriched,"Reviews endothelial, inflammatory, oxidative, pericyte, and cardiovascular biomarker candidates; emphasizes validation needs.",2026-08-18
R059,Cerebral amyloid angiopathy and amyloid load distribution detected on amyloid-positron emission tomography: a systematic review and meta-analysis,Theodorou et al.,2025,European Stroke Journal,systematic review and meta-analysis,amyloid PET,high,10.1177/23969873251349657,41614494,,https://doi.org/10.1177/23969873251349657,partially enriched,Sixteen prospective cohorts and 271 CAA participants; regional PET patterns are promising but require pathology-linked validation.,2026-08-18
R060,Association of cerebrovascular reactivity with 1-year imaging and clinical outcomes in small vessel disease: an observational cohort study,Sleight et al.,2024,Neurology,prospective observational cohort,cerebrovascular reactivity,high,10.1212/WNL.0000000000210008,39499872,PMC11540458,https://doi.org/10.1212/WNL.0000000000210008,partially enriched,Mild Stroke Study 3; 163 participants with adequate baseline CVR and follow-up MRI; lower CVR predicted WMH and PVS progression but not 1-year clinical outcomes.,2026-08-18
R061,Clinical-radiological spectrum of cerebral amyloid angiopathy-related inflammation,Panteleienko et al.,2026,Annals of Neurology,retrospective comparative cohort,CAA-related inflammation,high,10.1002/ana.78029,40970476,PMC12946602,https://doi.org/10.1002/ana.78029,partially enriched,Compared 37 CAA-ri and 158 non-inflammatory sporadic CAA cases; ARIA-E features were much more frequent in CAA-ri.,2026-08-18
