question_id,domain,question,population,index_or_exposure,comparator,reference_standard,outcome,timing,setting,priority,evidence_status,current_answer,critical_missing_piece,decisive_design,claim_ids,study_ids,last_searched
Q011,CAA diagnosis,Is the multispot WMH pattern independently informative for CAA?,Suspected CAA or mixed SVD,Multispot WMH rating,WMH volume/distribution and other markers,Neuropathology,Reliability and incremental accuracy,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"It contributes to Boston v2.0, but independent validation remains limited.","Standardized definition, reliability, and external pathology validation.",Multicentre blinded imaging-pathology study,C006;C017,S001,2026-08-18
Q012,CAA diagnosis,When do CT morphology and APOE genotype add value after lobar ICH?,Spontaneous lobar ICH,Edinburgh CT plus APOE model,CT alone and MRI-based criteria,Pathology,"Accuracy, feasibility, and net benefit",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,bounded,"The model can support CAA inference when MRI is unavailable, within its intended ICH context.",External validation across ancestries and modern care pathways.,Prospective pragmatic diagnostic-impact study,,S002,2026-08-18
Q013,arteriolosclerosis diagnosis,What ante-mortem MRI phenotype best predicts pathology-confirmed brain arteriolosclerosis?,Older adults with MRI before death,"Deep microbleeds, lacunes, WMH topography, diffusion, physiology, and demographics",Clinical vascular risks and conventional MRI burden,Standardized multiregion pathology,"External discrimination, calibration, and net reclassification",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,No accepted MRI diagnostic criteria exist; current features are candidate phenotypes.,Large representative MRI-autopsy derivation and locked external validation.,Two-cohort prospective or nested autopsy prediction study,C007;C011;C016,S006;S011,2026-08-18
Q014,arteriolosclerosis diagnosis,How specific are deep microbleeds for nonamyloid arteriolosclerosis?,Older adults with deep or mixed microbleeds,Deep lesion burden and microanatomic localization,Lobar lesions and vascular risks,Lesion- and person-level pathology,Etiologic likelihood ratios,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,Deep distribution is compatible with perforator disease but is not a direct pathology diagnosis.,Lesion-matched pathology with CAA and mixed-disease controls.,Multiregion lesion-to-vessel histology study,C004;C007,S003,2026-08-18
Q015,arteriolosclerosis diagnosis,Which lacune locations and morphologies are most informative for arteriolosclerosis?,Adults with lacunes,"Location, shape, cavity characteristics, and surrounding tissue",Lacune count alone,Regional arteriolar pathology and infarct mechanism adjudication,Specificity and reliability,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,critical_gap,Lacunes are heterogeneous downstream injuries and current descriptors are not pathology-specific.,Mechanism-adjudicated spatial pathology validation.,Prospective MRI plus autopsy or surgical histology study,C007;C016,,2026-08-18
Q016,arteriolosclerosis diagnosis,"Can WMH spatial patterns distinguish arteriolosclerosis from CAA, AD, and mixed disease?",Older adults with WMH,"Periventricular/deep pattern, shape, texture, and longitudinal expansion",Total WMH volume,Multiregion pathology with mixed-disease modeling,Incremental etiologic classification,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,WMH are sensitive to tissue injury but highly nonspecific.,External pathology-linked spatial model with sequence harmonization.,Multicohort MRI-autopsy radiomics study with locked thresholds,C016,,2026-08-18
Q017,arteriolosclerosis biomarker,Does ARTS externally predict pathology-confirmed arteriolosclerosis?,Independent older-adult cohorts,ARTS score,"Demographics, vascular risks, WMH, and diffusion baselines",Standardized pathology,"Discrimination, calibration, and decision utility",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,ARTS has promising development evidence but lacks strong independent pathology validation.,External locked validation outside ROSMAP-related development data.,Independent preregistered MRI-autopsy validation,C011,S006,2026-08-18
Q018,arteriolosclerosis biomarker,Does ARTS add clinically meaningful information beyond conventional measures?,Older adults with MRI,ARTS added to baseline model,Baseline model alone,"Pathology, cognition, vascular events",Incremental value and net benefit,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,Associations and technical repeatability do not yet establish incremental clinical utility.,Head-to-head incremental-value and decision-curve analysis.,External cohort with locked model and prespecified utility thresholds,C011;C012;C013,S006;S007;S008,2026-08-18
Q019,pathology,How reproducible are visual and quantitative arteriolosclerosis ratings across regions and laboratories?,Shared human tissue sections,Visual grades and digital morphometry,Laboratory-specific routine practice,Consensus reference and repeat reads,"Interrater, interlab, and stain robustness",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,"Quantitative methods are emerging, but a shared calibrated reference is absent.",Public reference slide set and round-robin study.,International blinded digital-pathology challenge,C007,S011,2026-08-18
Q020,mechanism,"Is impaired perivascular clearance an initiating cause, amplifier, or consequence of CAA?","Preclinical, hereditary, and sporadic CAA",Direct or proxy clearance measures,Amyloid burden and vascular function,Longitudinal compartment-specific transport,Temporal and causal ordering,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"Clearance impairment is coherent and spatially associated, but human direction and flux remain uncertain.",Direct human transport measurement before and during amyloid accumulation.,Longitudinal hereditary/sporadic multimodal transport study,C001,S004,2026-08-18
Q021,mechanism,Does vascular physiological dysfunction precede irreversible tissue injury?,Individuals across preclinical and clinical SVD stages,"CVR, pulsatility, perfusion, and barrier measures",Structural MRI markers,Longitudinal lesion progression,Temporal precedence and mediation,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"CVR can precede WMH/PVS progression in SVD, but etiologic and causal specificity remain unresolved.",Repeated physiology and imaging with causal mediation and intervention.,Multisite longitudinal cohort with repeated measures,C002;C019,S017;S018,2026-08-18
Q022,mechanism,Is BBB leakage an early driver of CAA and arteriolosclerosis or a downstream marker?,Human tissue and in-vivo SVD stages,DCE-MRI and molecular leakage markers,Vessel pathology grade and inflammation,Spatial pathology and longitudinal change,Timing and mediation,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"Leakage co-localizes with vessel injury and inflammation, but temporal direction in humans is uncertain.",Prospective serial permeability imaging anchored to pathology or strong etiologic models.,Spatial longitudinal imaging-pathology study,C003,S005,2026-08-18
Q023,mechanism,"Which inflammatory pathways are causal, protective, or secondary in CAA?","Sporadic CAA, CAA-ri, ARIA, and models","Immune cells, complement, cytokines, antibodies",Amyloid burden and barrier injury,Intervention-sensitive mechanistic endpoints,Causal contribution and heterogeneity,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,Inflammation participates in CAA-ri and ARIA; its role in non-inflammatory CAA is less defined.,Mechanistically targeted longitudinal human studies with treatment perturbation.,Parallel CAA/CAA-ri/ARIA immune-phenotyping study,C014;C020;C022,S005;S019;S021,2026-08-18
Q024,mechanism,"How do pulsatility, stiffness, autoregulation, and smooth-muscle loss interact in deep perforator injury?",Aging and hypertensive SVD,Hemodynamic and vessel-wall measures,Vascular-risk exposure alone,Regional pathology and tissue injury,Mechanistic mediation,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,critical_gap,"A plausible network exists, but direct human causal chains are sparse.","Synchronized hemodynamics, high-resolution vessel imaging, and pathology.",Longitudinal multimodal deep-perforator study,C007;C019,,2026-08-18
Q025,fluid biomarkers,Can CSF or plasma distinguish CAA from AD and mixed amyloid disease?,"CAA, AD, mixed pathology, and controls","Amyloid isoforms, p-tau, GFAP, NfL, vascular markers",Clinical/imaging models,Autopsy or validated multimodal reference,Incremental patient-level accuracy,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,No standalone marker currently has adequate specificity and validation.,Pathology-linked multisite head-to-head assay study.,Prospective blinded diagnostic study with locked assays,C018;C024,,2026-08-18
Q026,molecular imaging,Can regional amyloid PET distinguish vascular from parenchymal amyloid at the patient level?,"Suspected CAA, AD, and mixed disease",Regional tracer ratios and spatial models,Global amyloid positivity,Autopsy compartment-specific amyloid,Threshold accuracy and transportability,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,emerging,"Group-level regional differences exist, but pathology-specific patient thresholds are not validated.",Prospective multi-tracer PET-to-autopsy validation.,Prespecified multicentre diagnostic study,C021,S020,2026-08-18
Q027,quantitative MRI,Which diffusion metric best captures clinically meaningful SVD microstructural injury?,cSVD and VCID cohorts,"PSMD, free water, DTI, NODDI, and related metrics",Conventional lesion burden,"Reproducibility, cognition, progression, and pathology",Incremental validity and responsiveness,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"Several measures are reproducible and associated with cognition, but construct and etiologic specificity differ.",Head-to-head harmonized comparison with pathology and longitudinal outcomes.,MarkVCID-style multicentre benchmark,C016,,2026-08-18
Q028,quantitative MRI,Are PSMD and free-water measures responsive and interpretable enough for trials?,VCID and cSVD intervention cohorts,PSMD and white-matter free water,Conventional MRI and clinical scales,Change reliability and meaningful outcome,Treatment sensitivity and minimal important change,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"Technical and biological validation is advancing, but treatment responsiveness is not established.",Prospective trial-embedded repeatability and responsiveness study.,Multisite intervention study with prespecified change thresholds,C016,,2026-08-18
Q029,multimodal diagnosis,Does multimodal integration improve etiologic inference beyond MRI alone?,Suspected CAA or arteriolosclerosis,"MRI plus fluid, PET, genetics, physiology, and clinical data",MRI-only model,Pathology,"Calibration, incremental value, transportability",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,Multimodal integration is plausible but rarely tested against representative pathology.,Locked multimodal model with missing-data strategy and external validation.,Two-stage development/validation MRI-autopsy study,C017;C018;C019;C021;C024,,2026-08-18
Q030,mixed pathology,How do vascular amyloid and AD neuropathologic change interact to produce cognition?,Older adults with autopsy and longitudinal cognition,CAA and ADNC jointly,Each pathology alone,Standardized pathology and cognitive trajectories,Additive versus interactive effects,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,The pathologies often coexist; shared amyloid biology does not imply identical compartmental effects.,Large multiregion pathology cohort with preregistered interaction and mediation models.,Longitudinal autopsy cohort with independent replication,C010;C015,,2026-08-18
Q031,mixed pathology,How do arteriolosclerosis and CAA jointly shape MRI phenotypes and outcomes?,Older adults with both pathologies represented,Joint pathology burden and spatial distribution,Single-pathology models,Multiregion pathology,"Interaction, mediation, and classification error",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,"Mixed pathology is common, but many diagnostic studies simplify it as exclusion or noise.",Factorial pathology-linked imaging analysis with sufficient dual-pathology cases.,Multicohort MRI-autopsy interaction study,C007;C015;C016,S003,2026-08-18
Q032,mixed pathology,What links arteriolosclerosis to hippocampal sclerosis and LATE-related pathology?,Oldest-old autopsy cohorts,Regional arteriolosclerosis burden,Other vascular and neurodegenerative pathologies,Hippocampal sclerosis and TDP-43 staging,Independent association and mechanism,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"Associations exist, but shared age, vascular injury, and selective vulnerability remain competing explanations.",Longitudinal and spatial mediation with replication.,Independent multiregion autopsy cohorts,C009,S009;S010;S016,2026-08-18
Q033,cognition,"How much cognitive decline is mediated by infarcts, white-matter injury, network disruption, and neurodegeneration?",Longitudinal aging cohorts,Pathology and intermediate imaging/network measures,Total pathology-outcome association,Repeated cognition and autopsy,Path-specific mediated effects,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,critical_gap,Multiple pathways likely operate simultaneously; simple adjusted regressions may obscure them.,Temporal causal models with measurement-error correction and sensitivity analysis.,Harmonized longitudinal multimodal autopsy cohort,C008;C010,,2026-08-18
Q034,genetics,Which findings from hereditary CAA transport to sporadic CAA?,Hereditary and sporadic CAA cohorts,"Shared imaging, fluid, physiology, and pathology measures",Within-form trajectories,Harmonized longitudinal phenotypes,Transportability and temporal sequence,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,emerging,"Hereditary CAA is mechanistically informative but differs in age, mutation, penetrance, and co-pathology.",Direct parallel phenotyping with formal transport analysis.,Matched hereditary-sporadic longitudinal study,C023,,2026-08-18
Q035,genetics,"How does APOE modify CAA burden, hemorrhage, inflammation, and ARIA risk?",Sporadic CAA and anti-amyloid-treated populations,APOE genotype,Clinical/imaging risk factors without genotype,Pathology and adjudicated outcomes,Incremental and interaction effects,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,high,bounded,APOE contributes meaningful risk information in some contexts but is neither necessary nor sufficient.,Ancestry-diverse calibrated models with treatment interactions.,Large prospective real-world registry linked to standardized MRI,C014;C017;C022,S002;S019,2026-08-18
Q036,inflammatory CAA,How accurately do clinicoradiologic criteria identify CAA-ri among realistic mimics?,"Adults with subacute encephalopathy, seizures, or asymmetric FLAIR lesions",CAA-ri criteria,Expert impression and alternative diagnoses,Biopsy or adjudicated longitudinal diagnosis,Accuracy and biopsy avoidance,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,bounded,"Criteria perform well in selected cohorts, but mimic-rich external accuracy is incompletely defined.","Prospective blinded study with infection, neoplasm, PRES, and vasculitis controls.",Multicentre diagnostic cohort,C020,S015;S019;S021,2026-08-18
Q037,ARIA,Which baseline and dynamic markers predict symptomatic or severe ARIA?,Anti-amyloid-treated patients,"Baseline CMB/cSS, APOE, dose, emerging imaging/fluid markers",Standard eligibility factors,Adjudicated ARIA severity and outcomes,Absolute risk and dynamic prediction,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,"Known risk factors guide monitoring, but severe-event prediction remains limited.",Large prospective real-world treatment registry with harmonized serial MRI.,Registry-based external model development and validation,C022,,2026-08-18
Q038,progression,What is the temporal sequence from vascular dysfunction to nonhemorrhagic and hemorrhagic injury?,Preclinical through symptomatic CAA and arteriolosclerosis,"Repeated physiology, barrier, diffusion, lesion, and amyloid measures",Cross-sectional stage models,Longitudinal transitions and pathology,Ordering and transition rates,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,"A staged framework is plausible, but individual-level transition evidence remains incomplete.",Dense longitudinal multimodal sampling beginning before symptoms.,Hereditary-plus-sporadic natural-history platform,C002;C003;C010;C019;C023,S018,2026-08-18
Q039,prognosis,"Which combination best predicts hemorrhage, cognitive decline, disability, and death?",Phenotyped CAA and cSVD cohorts,"Imaging, fluid, genetic, physiological, and clinical markers",Single-marker and conventional models,Prospective adjudicated outcomes,"Calibration, competing risks, and net benefit",Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,"Several markers are prognostic, but unified externally calibrated models are uncommon.",Outcome-specific external validation and decision analysis.,International prospective registry with locked models,C010;C013;C019,S008;S017;S018,2026-08-18
Q040,trials,"Which biomarkers are sufficiently reliable, causal, and responsive to serve as trial endpoints?",Intervention-ready CAA and arteriolosclerosis cohorts,"Imaging, physiological, fluid, and digital-pathology biomarkers",Clinical outcomes and conventional MRI,Treatment-induced change linked to patient benefit,Responsiveness and surrogacy,Cross-sectional and longitudinal components as appropriate,Research cohorts unless otherwise stated,essential,critical_gap,No arteriolosclerosis biomarker and few CAA biomarkers meet the full chain from repeatability to clinical surrogacy.,Trial-embedded qualification with prespecified causal and clinical validation.,Multistage biomarker-qualification program,C011;C012;C019;C021;C024,,2026-08-18
